Title,Price,Rating,Brand,RAM,Processor-Brand,Hard-Disk
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5...",39990,3.8,HONOR,16GB,INTEL,512GB
(Refurbished) HP EliteBook 820 G4 7th Gen Intel Co...,17799,4.1,HP,16GB,INTEL,512GB
"ASUS Vivobook 15, 15.6"" (39.62Cm) FHD, 60Hz, Intel...",57990,3.6,ASUS,16GB,INTEL,512GB
"HP Victus, 13th Gen Intel Core i7-13620H, 6GB NVID...",90790,3.7,HP,16GB,INTEL,1TB
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U...",34870,3.8,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40...",55990,3.5,LENOVO,16GB,INTEL,512GB
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, A...",32490,4.1,HP,8GB,AMD,512GB
"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 2...",27100,3.8,LENOVO,8GB,AMD,512GB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,53890,3.9,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65290,4.0,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUX...",49000,3.7,LENOVO,8GB,INTEL,512GB
"MSI Modern 14, Intel 12th Gen. i3 1215U,36CM Lapto...",29399,4.3,MSI,8GB,INTEL,512GB
DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1...,32400,1.0,DELL,16GB,INTEL,512GB
Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/5...,24400,3.7,ACER,8GB,AMD,512GB
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 2...",39480,4.3,LENOVO,16GB,AMD,512GB
"HP Victus Gaming Laptop, 13th Gen Intel Core i7-13...",99990,3.9,HP,16GB,INTEL,1TB
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 51...",52990,3.8,HP,16GB,INTEL,512GB
"ASUS TUF F17 Gaming Laptop, Intel Core i5-11400H 1...",48990,3.8,ASUS,8GB,INTEL,512GB
Acer Aspire 3 AMD Ryzen 7-7730U Processor Laptop w...,39990,4.0,ACER,16GB,AMD,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",70990,3.4,LENOVO,16GB,INTEL,512GB
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256...",32990,3.9,HP,8GB,INTEL,256GB
"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core ...",44990,4.7,HONOR,8GB,INTEL,512GB
"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (W...",37022,4.1,HP,8GB,AMD,512GB
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15....",40390,3.9,ASUS,16GB,AMD,512GB
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i...,22519,4.1,LENOVO,16GB,INTEL,512GB
"ASUS Vivobook 16X, 16"" FHD+, 144Hz 300nits, Intel ...",56990,3.8,ASUS,16GB,INTEL,512GB
"Dell 15 Thin & Light Laptop, Intel Core i7-1255U P...",64990,4.0,DELL,16GB,INTEL,512GB
"Dell Inspiron 5440 Laptop, i5-1334U Processor, 16G...",67990,3.8,DELL,16GB,INTEL,1TB
Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 I...,35990,4.0,LENOVO,8GB,INTEL,512GB
Dell Vostro 15 3520 Laptop - 15.6 inch (39.62cm) F...,48490,3.7,DELL,8GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUX...",49000,3.7,LENOVO,8GB,INTEL,512GB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,53890,3.9,LENOVO,16GB,INTEL,512GB
"Walker Thin & Light Laptop,14.1""(4GB RAM,128GB SSD...",12990,3.6,WALKER,4GB,INTEL,128GB
"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core ...",44990,4.7,HONOR,8GB,INTEL,512GB
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15....",40390,3.9,ASUS,16GB,AMD,512GB
"ASUS Vivobook 16X, 16"" FHD+, 144Hz 300nits, Intel ...",56990,3.8,ASUS,16GB,INTEL,512GB
"Dell Inspiron 5440 Laptop, i5-1334U Processor, 16G...",67990,3.8,DELL,16GB,INTEL,1TB
Lenovo IdeaPad 3 12th Gen Intel Core i5-1235U 15.6...,50990,3.4,LENOVO,8GB,INTEL,512GB
"Lenovo V15 Portable Laptop, 15.6"" FHD Anti-Glare D...",22990,3.9,LENOVO,8GB,INTEL,256GB
CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Proc...,41990,3.6,CHUWI,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65290,4.0,LENOVO,16GB,INTEL,512GB
"HP OMEN Gaming AI Laptop, AMD Ryzen 7 7840HS, 8GB ...",112990,3.9,HP,16GB,AMD,1TB
Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with...,82990,4.1,ACER,16GB,AMD,512GB
Acer Travelmate Business Laptop Intel Core i7-1165...,39990,3.2,ACER,16GB,INTEL,512GB
"Primebook S 4G, 2024(New, WiFi+4G) Android Based M...",15790,4.5,PRIMEBOOK,4GB,MEDIATEK,128GB
"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (W...",37022,4.1,HP,8GB,AMD,512GB
"(Refurbished) Dell Vostro 3420 Laptop,12th Gen Int...",28891,3.1,DELL,8GB,INTEL,512GB
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Th...",46990,4.0,ASUS,8GB,INTEL,512GB
Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin...,30963,3.9,ACER,8GB,INTEL,512GB
Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450...,61990,3.9,LENOVO,16GB,INTEL,1TB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,53890,3.9,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450...,53890,3.9,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i3 13th Gen 14"" WUX...",48590,3.7,LENOVO,8GB,INTEL,512GB
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-...",55990,3.6,DELL,16GB,INTEL,512GB
Acer ALG Gaming Laptop 12th Gen Intel Core i5 Proc...,53990,3.8,ACER,16GB,INTEL,512GB
